"Field code","Section","Question","Type","Required","Sensitivity","External AI","Default application use","Purpose / notes","Help text","Options","Validation","Duplicate code in source"
"RES-03","11 — Research, publications, teaching & public contribution","Teaching, training, mentoring, supervision and facilitation","Paragraph","No","CAREER","YES","Relevant applications","Knowledge transfer","Audience — subject — format — hours/people — materials — feedback/outcome.","","","NO"
"RES-04","11 — Research, publications, teaching & public contribution","Conferences, panels, speaking, media and presentations","Paragraph","No","CAREER","YES","Relevant applications","Public contribution","Event — role/topic — audience — date — link/result.","","","NO"
"SKILL-01","12 — Skills, tools & languages","Technical skills inventory","Paragraph","No","CAREER","YES","Relevant applications","Technical matching and evidence","Skill — level — years — last used — where used — evidence.","","","NO"
"SKILL-02","12 — Skills, tools & languages","Software, platforms and business systems","Paragraph","No","CAREER","YES","Relevant applications","Tool capability","Examples: office tools, ERP/CRM, GIS, design suites, analytics, ticketing, ATS.","","","NO"
"SKILL-03","12 — Skills, tools & languages","Programming, data, cloud, AI and cybersecurity","Paragraph","No","CAREER","YES","Relevant applications","Digital capability","Languages/frameworks — databases — cloud — DevOps — analytics/ML — security — level/evidence.","","","NO"
"SKILL-04","12 — Skills, tools & languages","Professional and functional skills","Paragraph","No","CAREER","YES","Relevant applications","Functional capability","Examples: policy, finance, procurement, HR, M&E, sales, marketing, case management, lab/clinical.","","","NO"
"SKILL-05","12 — Skills, tools & languages","Management, leadership and delivery methods","Paragraph","No","CAREER","YES","Relevant applications","Delivery capability","Examples: Agile, PRINCE2, PMBOK, Lean, team leadership, budgeting, risk, governance.","","","NO"
"SKILL-06","12 — Skills, tools & languages","Communication, creative and stakeholder skills","Paragraph","No","CAREER","YES","Relevant applications","Communication capability","Writing, presenting, negotiation, facilitation, media, design, multilingual engagement.","","","NO"
"SKILL-07","12 — Skills, tools & languages","Equipment, machinery, laboratory, clinical or trade tools","Paragraph","No","CAREER","YES","Relevant applications","Practical capability","Equipment/tool — competence — licence/training — years — last used.","","","NO"
"SKILL-08","12 — Skills, tools & languages","Standards, regulations and industry frameworks","Paragraph","No","CAREER","YES","Relevant applications","Regulatory knowledge","Examples: ISO, IFRS, GDPR, safeguarding, building codes, clinical or engineering standards.","","","NO"
"LANG-01","12 — Skills, tools & languages","Languages","Paragraph","No","CAREER","YES","Relevant applications","Language ability","For each language: native/learned — speaking — listening — reading — writing — CEFR/other level — professional use.","","","NO"
"LANG-02","12 — Skills, tools & languages","Language tests or certificates","Paragraph","No","CAREER","YES","Relevant applications","Verified language level","Test — language — score/level — date — expiry — certificate/evidence link.","","","NO"
"STORY-01","13 — Achievement & interview story bank","Greatest professional achievement","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-02","13 — Achievement & interview story bank","Leadership or people-management example","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-03","13 — Achievement & interview story bank","Difficult problem you solved","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-04","13 — Achievement & interview story bank","Innovation or improvement you introduced","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-05","13 — Achievement & interview story bank","Teamwork across functions, cultures or organisations","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-06","13 — Achievement & interview story bank","Conflict, disagreement or difficult stakeholder","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-07","13 — Achievement & interview story bank","Failure, mistake or setback and what changed afterward","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-08","13 — Achievement & interview story bank","Pressure, crisis, competing priorities or tight deadline","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-09","13 — Achievement & interview story bank","Ethical judgment, integrity or confidential information","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-10","13 — Achievement & interview story bank","Diversity, inclusion, safeguarding or respectful practice","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-11","13 — Achievement & interview story bank","Customer, beneficiary, client or user impact","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"STORY-12","13 — Achievement & interview story bank","Learning something quickly or adapting to major change","Paragraph","No","CAREER","YES","Applications and interview preparation","Competency evidence","Situation/Task — Action — Result — lesson — evidence/contact if any.","","","NO"
"MOT-01","14 — Motivation, values & writing voice","Why do you want to work, and what impact do you want to create?","Paragraph","No","CAREER","YES","Motivation writing","Core motivation","","","","NO"
"MOT-02","14 — Motivation, values & writing voice","Why are you pursuing your target roles?","Paragraph","No","CAREER","YES","Motivation writing","Role motivation","","","","NO"
"MOT-03","14 — Motivation, values & writing voice","Why are you interested in your target sectors or causes?","Paragraph","No","CAREER","YES","Motivation writing","Sector motivation","","","","NO"
"MOT-04","14 — Motivation, values & writing voice","Work values and preferred culture","Paragraph","No","CAREER","YES","Application fit and interviews","Values and culture","What brings out your best work? What environments do not suit you?","","","NO"
"MOT-05","14 — Motivation, values & writing voice","General motivation letter or personal statement","Paragraph","No","CAREER","YES","Voice reference only","Writing sample","Paste a sample written in your natural voice. It may be imperfect; ATG Apply uses it as source material, never as a universal letter.","","","NO"
"MOT-06","14 — Motivation, values & writing voice","Preferred writing style","Paragraph","No","PRIVATE","YES","Internal writing instruction","Candidate voice","Examples: concise, warm, formal, diplomatic, bold, technical, evidence-led. Include phrases you like/dislike.","","","NO"
"MOT-07","14 — Motivation, values & writing voice","Personal story or turning point you may want used","Paragraph","No","PRIVATE","NO","Only with explicit approval","Authentic narrative","State where it may be used and anything that must stay private.","","","NO"
"MOD-01","15 — Role-specific depth modules","Technology, software, data, AI, cyber or engineering","Paragraph","No","CAREER","YES","Relevant applications","Technical depth","Systems built — architecture/stack — users/scale — uptime/performance — deployments — testing — security — code/repository — hardware/standards.","","","NO"
"MOD-02","15 — Role-specific depth modules","UN, NGO, government, diplomacy or international development","Paragraph","No","CAREER","YES","Relevant applications","International/public-sector depth","Thematic areas — countries/duty stations — donors — SDGs — programme cycle — coordination — M&E — humanitarian/development settings — UN grade/roster/index if applicable.","","","NO"
"MOD-03","15 — Role-specific depth modules","Research, academia, policy or laboratory work","Paragraph","No","CAREER","YES","Relevant applications","Research depth","Methods — disciplines — grants — ethics — publications — citations/ORCID — teaching — supervision — peer review — labs/datasets.","","","NO"
"MOD-04","15 — Role-specific depth modules","Finance, accounting, consulting, business or strategy","Paragraph","No","CAREER","YES","Relevant applications","Commercial/strategy depth","Sectors — analysis/models — budgets/P&L — transactions — cases — recommendations — client level — savings/revenue — standards.","","","NO"
"MOD-05","15 — Role-specific depth modules","Sales, partnerships, fundraising or business development","Paragraph","No","CAREER","YES","Relevant applications","Growth depth","Targets — pipeline — deal/donor size — conversion — territories — CRM — proposals — negotiations — revenue/funds raised — relationships.","","","NO"
"MOD-06","15 — Role-specific depth modules","Communications, marketing, media, design or creative work","Paragraph","No","CAREER","YES","Relevant applications","Creative/comms depth","Channels — audiences — campaigns — content volume — reach/growth/conversion — press/media — brand — tools — portfolio — awards.","","","NO"
"MOD-07","15 — Role-specific depth modules","Operations, administration, HR, procurement, logistics or project delivery","Paragraph","No","CAREER","YES","Relevant applications","Operations depth","Processes — volume — SLAs — budgets — vendors — inventory — recruitment/payroll — risk — systems — efficiencies — locations/teams.","","","NO"
"MOD-08","15 — Role-specific depth modules","Healthcare, social care, education or safeguarding","Paragraph","No","SENSITIVE","LIMITED","Human review before use","Regulated people-facing depth","Registration — specialism — patient/student groups — caseload/class size — clinical/teaching hours — outcomes — mandatory training — safeguarding. Do not include identifiable client data.","","","NO"
"MOD-09","15 — Role-specific depth modules","Trades, transport, hospitality, retail, manufacturing or field work","Paragraph","No","CAREER","YES","Relevant applications","Frontline/practical depth","Tickets/licences — machinery — shifts — customer/production volume — quality/safety — stock/cash — route/site — targets — practical achievements.","","","NO"
"REF1-01","16 — References & verification","Reference 1 — name and pronouns/title","Short answer","No","PRIVATE","NO","Never by default","Referee identity","","","","NO"
"REF1-02","16 — References & verification","Reference 1 — organisation, job title and relationship to you","Paragraph","No","PRIVATE","NO","Never by default","Reference relevance","Include when/where you worked together and what they can verify.","","","NO"
"REF1-03","16 — References & verification","Reference 1 — email and phone with country code","Paragraph","No","RESTRICTED","NO","Only with candidate permission","Reference contact","","","","NO"
"REF1-04","16 — References & verification","Reference 1 — permission status","Multiple choice","No","PRIVATE","NO","Candidate-controlled","Consent control","","May share on applications | Ask me before every use | May contact only after interview/offer | Not yet asked | Do not use","","NO"
"REF2-01","16 — References & verification","Reference 2 — name and pronouns/title","Short answer","No","PRIVATE","NO","Never by default","Referee identity","","","","NO"
"REF2-02","16 — References & verification","Reference 2 — organisation, job title and relationship to you","Paragraph","No","PRIVATE","NO","Never by default","Reference relevance","Include when/where you worked together and what they can verify.","","","NO"
"REF2-03","16 — References & verification","Reference 2 — email and phone with country code","Paragraph","No","RESTRICTED","NO","Only with candidate permission","Reference contact","","","","NO"
"REF2-04","16 — References & verification","Reference 2 — permission status","Multiple choice","No","PRIVATE","NO","Candidate-controlled","Consent control","","May share on applications | Ask me before every use | May contact only after interview/offer | Not yet asked | Do not use","","NO"
"REF3-01","16 — References & verification","Reference 3 — name and pronouns/title","Short answer","No","PRIVATE","NO","Never by default","Referee identity","","","","NO"
"REF3-02","16 — References & verification","Reference 3 — organisation, job title and relationship to you","Paragraph","No","PRIVATE","NO","Never by default","Reference relevance","Include when/where you worked together and what they can verify.","","","NO"
"REF3-03","16 — References & verification","Reference 3 — email and phone with country code","Paragraph","No","RESTRICTED","NO","Only with candidate permission","Reference contact","","","","NO"
"REF3-04","16 — References & verification","Reference 3 — permission status","Multiple choice","No","PRIVATE","NO","Candidate-controlled","Consent control","","May share on applications | Ask me before every use | May contact only after interview/offer | Not yet asked | Do not use","","NO"
"REF-X01","16 — References & verification","References 4 and 5 or additional referees","Paragraph","No","RESTRICTED","NO","Candidate-controlled","Additional referees","For each: name — title/organisation — relationship — contact — permission status — roles for which they are strongest.","","","NO"
"REF-X02","16 — References & verification","Reference-selection guidance","Paragraph","No","PRIVATE","NO","Internal use only","Best-reference selection","Which referee fits which job type? Are any unavailable, confidential or unsuitable for certain employers?","","","NO"
"DOC-01","17 — Evidence & document links","Professional photograph link","Short answer","No","SENSITIVE","NO","Only under photo policy","Profile image evidence","Optional. Access should be limited to ATG Apply.","","url","NO"
"DOC-02","17 — Evidence & document links","Degree certificates and transcripts folder link","Short answer","No","PRIVATE","NO","Verification/application only","Academic evidence","","","url","NO"
"DOC-03","17 — Evidence & document links","Professional certificates, licences and training folder link","Short answer","No","PRIVATE","NO","Verification/application only","Credential evidence","","","url","NO"
"DOC-04","17 — Evidence & document links","Portfolio, work samples or writing samples folder link","Short answer","No","CAREER","LIMITED","Relevant applications","Work evidence","","","url","NO"
"DOC-05","17 — Evidence & document links","Reference letters or employment evidence folder link","Short answer","No","RESTRICTED","NO","Only with approval","Employment verification","","","url","NO"
"DOC-06","17 — Evidence & document links","Document notes, expiry dates or access instructions","Paragraph","No","PRIVATE","NO","Internal use only","Evidence management","Do not enter passwords. State what each link contains and when it may be used.","","","NO"
"RULE-01","18 — Application authority, AI boundaries & special questions","Default application approval level","Multiple choice","No","PRIVATE","NO","Operating rule","Candidate control","","Prepare materials, then ask me to approve every application | I may pre-authorise clearly defined roles later | Research opportunities only; do not prepare or submit yet","","NO"
"RULE-02","18 — Application authority, AI boundaries & special questions","May ATG Apply tailor and reorder truthful information for relevance?","Multiple choice","No","PRIVATE","NO","Operating rule","Editing authority","This never permits invention or material exaggeration.","Yes | Ask me first | No","","NO"
"RULE-03","18 — Application authority, AI boundaries & special questions","May ordinary career data be processed by approved AI tools?","Multiple choice","No","PRIVATE","NO","Operating rule","AI choice","Restricted and special-category data must not be sent to external AI.","Yes, with human review | Only de-identified career data | No; human processing only | I need more information","","NO"
"RULE-04","18 — Application authority, AI boundaries & special questions","May irrelevant information be omitted from a job-specific CV?","Multiple choice","No","PRIVATE","NO","Operating rule","Tailoring authority","","Yes | Ask me first | No","","NO"
"RULE-05","18 — Application authority, AI boundaries & special questions","Salary-question rule","Multiple choice","No","PRIVATE","NO","Application screening","Compensation control","","Ask me for every application | Use my stated range | Prefer “negotiable” where allowed | Do not answer unless mandatory","","NO"
"RULE-06","18 — Application authority, AI boundaries & special questions","Reference-sharing rule","Multiple choice","No","PRIVATE","NO","Application screening","Reference control","","Ask me for every application | State “available on request” | Use the individual permissions above | Do not mention references","","NO"
"RULE-07","18 — Application authority, AI boundaries & special questions","Sensitive or demographic questions","Multiple choice","No","SENSITIVE","NO","Just-in-time only","Protected-data control","Race/ethnicity, religion, disability/health, sexuality, political views and similar details are not stored in this master profile.","Ask me only when a specific application legally requests them | I prefer not to answer where optional | Discuss with me before proceeding","","NO"
"RULE-08","18 — Application authority, AI boundaries & special questions","Assessments you are willing or unwilling to complete","Paragraph","No","PRIVATE","NO","Internal screening","Assessment preference","Coding, case study, writing, psychometric, language, video, medical, background or other tests.","","","NO"
"RULE-09","18 — Application authority, AI boundaries & special questions","Application or assessment accommodations","Paragraph","No","SENSITIVE","NO","Only with explicit approval","Equal access","Do not provide medical details. State the practical adjustment and when ATG Apply may disclose it.","","","NO"
"RULE-10","18 — Application authority, AI boundaries & special questions","Potential conflicts or disclosures to discuss privately","Paragraph","No","RESTRICTED","NO","Human review only","Safe escalation","Do not enter criminal-record, medical or highly sensitive details here. Simply request a confidential human review.","","","NO"
"RULE-11","18 — Application authority, AI boundaries & special questions","Previous application answers worth reusing","Paragraph","No","CAREER","YES","Application drafting","Reusable answer bank","Paste strong screening answers, competency statements or employer questions and your truthful answers.","","","NO"
"RULE-12","18 — Application authority, AI boundaries & special questions","Anything else ATG Apply must know before representing you","Paragraph","No","PRIVATE","NO","Internal use only","Catch-all and candidate instruction","","","","NO"
"FINAL-01","19 — Final review & declaration","Information that needs verification or correction","Paragraph","No","PRIVATE","NO","Internal quality control","Verification queue","List uncertain dates, grades, titles, metrics or claims. Do not guess.","","","NO"
"FINAL-02","19 — Final review & declaration","Truthfulness declaration","Checkboxes","Yes","PRIVATE","NO","Never shared","Factual integrity","","To the best of my knowledge, the information I provided is truthful and I have marked uncertainties for review.","","NO"
"FINAL-03","19 — Final review & declaration","Per-application control","Checkboxes","Yes","PRIVATE","NO","Never shared","Candidate control","","I understand that sensitive disclosures, restricted documents, references and final submission remain subject to the approval rules I selected.","","NO"
"FINAL-04","19 — Final review & declaration","Profile review frequency","Multiple choice","No","PRIVATE","NO","Operations only","Data accuracy and freshness","","Remind me every month | Every 3 months | Every 6 months | Only when an application needs an update | Do not remind me","","NO"
